iter	Passed	Remaining
0	0	72
1	1	65
2	1	61
3	2	58
4	3	57
5	3	56
6	4	56
7	4	54
8	5	54
9	5	52
10	6	51
11	7	51
12	7	51
13	8	50
14	8	49
15	9	49
16	9	48
17	10	47
18	10	46
19	11	46
20	12	46
21	12	45
22	13	44
23	13	44
24	14	43
25	15	42
26	15	42
27	16	41
28	16	40
29	17	40
30	17	39
31	18	39
32	18	38
33	19	37
34	19	37
35	20	36
36	20	35
37	21	35
38	21	34
39	22	33
40	22	33
41	23	32
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	30	25
54	30	24
55	31	24
56	31	23
57	32	23
58	33	22
59	33	22
60	34	21
61	34	21
62	35	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	40	15
72	40	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	55	1
98	55	0
99	56	0
